evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_boundary_active_fraction,0.0,0.10199804613392388
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,risk_boundary_active_duration_seconds,0,1.5299878120422363
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,actual_reference_reduction_peak_mps,3.3788460883643623e-06,0.0031682214035915757
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,actual_reference_reduction_mean_mps,-3.6177293123266446e-08,0.00013958355855985067
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,actual_reference_reduction_positive_fraction,0.06133333333333333,0.21133333333333335
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,upper_clipping_reduction_peak_mps,0.0,0.0031682214035915757
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,upper_clipping_reduction_mean_mps,0.0,0.00013943104875173217
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,actual_reference_reduction_definition,same_run_candidate_common_velocity_minus_published_common_velocity,same_run_candidate_common_velocity_minus_published_common_velocity
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,controller_raw_wheel_peak_mps,0.16708986212616,0.1456495964856359
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,controller_raw_wheel_rms_mps,0.12442564992745515,0.12336669389817276
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,controller_raw_above_0p150_duration_seconds,0.5098402500152588,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,wheel_demand_capability_ratio_peak,1.0443116382885,0.9103099780352244
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,disturbed_wheel_peak_mps,0.16708986212616,0.1456495964856359
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,physical_speed_limiter_duration_seconds,0.2899327278137207,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,heading_error_peak,0.036100064066206354,0.031730885078930626
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,heading_error_IAE,0.23142666642741783,0.20999623447193458
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,heading_error_rms,0.01827526039049302,0.01659410132892292
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,support_error_peak,0.039786282924483655,0.03471975881203026
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,support_error_IAE,0.21070791710440637,0.19266263309785958
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,support_error_rms,0.016393398992341962,0.014919696041840475
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,rigid_fit_error_peak,0.01702081236194873,0.014735343812197635
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,rigid_fit_error_IAE,0.0836707308680716,0.07609942017849222
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,rigid_fit_error_rms,0.006696859091351999,0.006055857201168775
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,pairwise_side_error_peak,0.03334696519205127,0.02986173533163594
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,recovery,pairwise_side_error_IAE,0.1684174036450802,0.15333040742845247
